(Intercept)	loss
AZEBSA	5.9519393153616	0.0632420882567479
BNGBBS	6.13030640357412	0.0321942676635664
BNGCLV	6.14006990707007	0.0404681437331107
BNGWTC	6.17359220459218	0.0407035470054849
CEBRPV	6.09020536568553	0.0345389542141716
HAEBSE	6.20119162437776	0.031780689477459
HAUCLV	6.05584048979338	0.0380331166260046
HNDSKV	5.91239876625374	0.0667845289980912
ILORPV	6.12617403677571	0.03114238445562
INZNTV	6.03638077428791	0.0482247192515941
INZSHL	6.13537418457634	0.0417975591329019
INZTSI	6.01980187575403	0.0504034469341961
JAVNRF	6.16386653217385	0.0321705903978918
KAZKAZ	5.94303757501391	0.0571495696647154
KMRUBS	6.0109334298223	0.0665163902336866
LAOUBS	6.06971726906522	0.0646955577074034
MARWTC	5.9218355133538	0.067871149013674
POLNCV	5.9750822836244	0.0473782896295397
RONBSR	6.08982871910316	0.0445499629979169
RUSS76	6.05176404376879	0.0641879676696196
SOMSIM	5.82095557162841	0.0394428938060824
SPNBDA	6.15114437485934	0.0207963310170962
SPNDHH	5.98136197407673	0.0438656333692993
SPNNVI	5.92758613984596	0.0384161136909776
SPNR95	5.86733157674701	0.0362454930779417
SPNWTC	6.00595644374487	0.0335025069494969
SWESFB	5.87265018809207	0.0864598408175871
SWESFV	5.90293546941037	0.0936038009122273
TCVWTC	5.85537088267739	0.0719281371349952
TCWWTC	6.00209725944466	0.0445964528250773
TGKIBT	6.06685346087539	0.0631607646098978
TGLPBS	6.08527690698588	0.0404563823581588
THATSV	5.79160917807347	0.0833139161296483
TIRUBS	5.76763627514773	0.0151607596328195
TPIPNG	5.90941076210438	0.0738610085236589
TRKBST	5.83642990295293	0.0501043611909082
TRKWTC	5.92799904449203	0.0367480224676157
VIEVOV	5.8749408958472	0.0975125190271181
ZLMAVB	5.92254141209138	0.0562725473258752
