loss:position_initialTRUE	(Intercept)	position_initialTRUE	position_finalTRUE	loss	position_initialTRUE:loss
AZEBSA	0.00933149221379485	5.87242679448162	0.65116743158915	0.29544805688953	0.0468577599901057	-0.0661847049405247
BNGBBS	-0.0756710350365644	5.99685159798311	1.2736472198058	0.29544805688953	0.0109038087400382	-0.0661847049405247
BNGCLV	-0.0399617775539114	6.01654160971671	1.13022189121083	0.29544805688953	0.0133455679651187	-0.0661847049405247
BNGWTC	-0.0921750838665178	6.04930141507722	1.41984648015746	0.29544805688953	0.00914231960215747	-0.0661847049405247
CEBRPV	-0.0108086336976097	5.9556985054614	0.540033504667579	0.29544805688953	0.0405725926727584	-0.0661847049405247
HAEBSE	0.065044192955131	6.11048100076354	0.124694775108994	0.29544805688953	0.0324008236881674	-0.0661847049405247
HAUCLV	0.0541497803433586	5.92909296041749	0.404873410967266	0.29544805688953	0.0182000786649168	-0.0661847049405247
HNDSKV	0.074344533208216	5.77826997209736	0.396617154703918	0.29544805688953	0.0432579958713801	-0.0661847049405247
ILORPV	0.0384233515309715	6.03044177962513	0.233871595460622	0.29544805688953	0.0395863134669855	-0.0661847049405247
INZNTV	-0.0321923103760117	5.92572720038781	0.710006809819686	0.29544805688953	0.0468691736199779	-0.0661847049405247
INZSHL	0.0048020372544949	6.03214072132058	0.509995728403	0.29544805688953	0.0405817093740273	-0.0661847049405247
INZTSI	0.0133179362121155	5.91462681891155	0.515902042263167	0.29544805688953	0.0443654014071498	-0.0661847049405247
JAVNRF	-0.0183269445404859	6.04306977578344	0.751312432055478	0.29544805688953	0.0238863374021301	-0.0661847049405247
KAZKAZ	-0.0168262574569187	5.86280023448205	0.75944619245911	0.29544805688953	0.0434679334292749	-0.0661847049405247
KMRUBS	0.0463675329839797	5.8882346463836	0.612038935693914	0.29544805688953	0.0293441668331252	-0.0661847049405247
LAOUBS	0.00806063596084898	6.04754823797862	0.33620770013268	0.29544805688953	0.0672940175970475	-0.0661847049405247
MARWTC	0.0225066757547839	5.82722691780677	0.695991111139533	0.29544805688953	0.0438431419741604	-0.0661847049405247
POLNCV	-0.0538089967337957	5.87682751661583	1.04788988013541	0.29544805688953	0.0305644618232752	-0.0661847049405247
RONBSR	0.0416071931811246	5.98490310069906	0.362347598585423	0.29544805688953	0.0368812622452067	-0.0661847049405247
RUSS76	0.0131793024408591	5.96115403395334	0.472454266784309	0.29544805688953	0.0606426738117431	-0.0661847049405247
SOMSIM	-0.0781824498059593	5.70030811425818	1.30202433203213	0.29544805688953	0.0105583623574216	-0.0661847049405247
SPNBDA	0.0584529642691711	6.04406772868247	0.146134391891508	0.29544805688953	0.0281636658089704	-0.0661847049405247
SPNDHH	-0.0517944722438373	5.85312480501425	1.10594684336476	0.29544805688953	0.00711525399000712	-0.0661847049405247
SPNNVI	-0.0182349254585049	5.80510620007829	0.830111355835504	0.29544805688953	0.0164920721599442	-0.0661847049405247
SPNR95	-0.0286647395521383	5.74148581835672	0.911580071325289	0.29544805688953	0.0121254982341964	-0.0661847049405247
SPNWTC	0.0674190624964383	5.90331609125083	0.227180261975958	0.29544805688953	0.0254525892346973	-0.0661847049405247
SWESFB	-0.0222995651346758	5.72642355835259	0.803156510066399	0.29544805688953	0.0771864644392131	-0.0661847049405247
SWESFV	-0.00640900058584764	5.76408094235573	0.744344055788973	0.29544805688953	0.0793392274629966	-0.0661847049405247
TCVWTC	0.0350366536903318	5.79970833654863	0.748413711141583	0.29544805688953	0.0389680539476866	-0.0661847049405247
TCWWTC	-0.0102817082853494	5.93617051978177	1.02656348434636	0.29544805688953	0.0122764465634392	-0.0661847049405247
TGKIBT	0.00368159519002932	5.93726252501665	0.679778755349212	0.29544805688953	0.0538668779704955	-0.0661847049405247
TGLPBS	0.0285057087811589	5.97424293620074	0.366390746541433	0.29544805688953	0.0407313056427006	-0.0661847049405247
THATSV	0.0284736374877575	5.77642478847149	0.410575370710673	0.29544805688953	0.0824046865787582	-0.0661847049405247
TIRUBS	0.0463598737461892	5.70029143718901	0.397420126648199	0.29544805688953	0.00395099175392184	-0.0661847049405247
TPIPNG	0.0143417088380529	5.77282730470573	0.447553604462166	0.29544805688953	0.0692361695764829	-0.0661847049405247
TRKBST	-0.0698616936637804	5.75698567728579	1.2963394847613	0.29544805688953	0.0186244004972621	-0.0661847049405247
TRKWTC	-0.100440929246374	5.83363522414843	1.58604955210481	0.29544805688953	0.00351801520020953	-0.0661847049405247
VIEVOV	0.0352306389240855	5.66248450207569	0.599112559280292	0.29544805688953	0.0739057170399779	-0.0661847049405247
ZLMAVB	0.0173039475897647	5.82228307682463	0.542838896195734	0.29544805688953	0.0466963595983777	-0.0661847049405247
